uid,brand,color,cpu_brand,cpu_core_number,cpu_main_frequency,depth,disk_capacity,disktype,foldability,goods_status,gpu_brand,gpu_series,height,intelligence,max_memory_capacity,memory_capacity,memory_slot_number,memory_type,mtm_number,os,pre_installed_software,product_cate1,product_cate2,product_item_name,product_name,ram,rom,scene,screen_size,screen_type,series,service_description,size,stock_number,target_audience,url,video_card_type,width
100019,,,,,,,,,,下架,,,,,,,,,38014008,,,服务,电脑服务,延保,thinkpad+延长1年基础保修（e/s/r/l）,,,办公,,,,延长1年保修，全国联保、原厂部件、免费维修。,,942,"商务人士,学生",https://item.lenovo.com.cn/product/51818.html,,
100020,,,,,,,,,,上架,,,,,,,,,dongde1463477337421,,,其他,其他,其他,懂陪伴,,,,,,,,,0,,https://item.lenovo.com.cn/product/51899.html,,
100021,,,,,,,,,,上架,,,,,,,,,dongde1463477026162,,,其他,其他,其他,大白话,,,,,,,,,0,,https://item.lenovo.com.cn/product/51898.html,,
100022,联想,,,,,283,,,,下架,,,385,,32,,,,48001739,,,综合办公用品,文印投影,打印机,联想+睿省m7216nwa+黑白激光有线+无线打印多功能一体机+复印,,,办公,,,,,385.0*340.0*283.0mm,18,商务人士,https://item.lenovo.com.cn/product/52972.html,,340
100023,,,,,,,,,,下架,,,,,,,,,38013996,,,服务,电脑服务,延保,thinkpad+延长1年基础保修（t/x/a）,,,办公,,,,延长1年保修，全国联保、原厂部件、免费维修。,,7748,"学生,商务人士",https://tk.lenovo.com.cn/product/52088.html,,
100024,小新,,,,,,,,,下架,,,,,,,,,GX40M38685,,,电脑,笔记本,笔记本,小新air+12笔记本保护壳+–+米黄色,,,,,,air,,,3,,https://item.lenovo.com.cn/product/58207.html,,
100025,,,,,,,,,,下架,,,,,,,,,38014008,,,服务,电脑服务,延保,thinkpad+延长1年基础保修（e/s/r/l）,,,办公,,,,延长1年保修，全国联保、原厂部件、免费维修。,,6998,"学生,商务人士",https://tk.lenovo.com.cn/product/52090.html,,
100026,,,,,,,,,,上架,,,,,,,,,102001359,,,服务,电脑服务,恢复,m4硬件开盘数据恢复服务-保内1t以下,,,,,,,此产品需拨打4009908888按4按5按2在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！,,32767,,https://item.lenovo.com.cn/product/58248.html,,
100027,thinkpad,磨砂黑,,,,,,,,上架,,,,,,,,,31056686,,,电脑配套设备,电脑外设,鼠标,thinkpad+蓝光鼠标（磨砂黑),,,办公,,,,,,0,商务人士,https://tk.lenovo.com.cn/product/53518.html,,
100028,,,,,,,,,,上架,,,,,,,,,102001360,,,服务,电脑服务,恢复,m4硬件开盘数据恢复服务-保内1t含以上,,,,,,,此产品需拨打4009908888按4按5按2在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务,,32767,,https://item.lenovo.com.cn/product/58249.html,,
100029,,,,,,,,,,上架,,,,,,,,,102001357,,,服务,电脑服务,恢复,m4硬件不开盘数据恢复服务-保内,,,,,,,此产品需拨打4009908888按4按5按2在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！,,32767,,https://item.lenovo.com.cn/product/58246.html,,
100030,,,,,,,,,,上架,,,,,,,,,102001384,,,服务,电脑服务,恢复,普通8g硬件恢复+数据恢复,,,,,,,此产品需拨打4009908888按4按5按2在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！,,50,,https://item.lenovo.com.cn/product/58257.html,,
100031,,,,,,,,,,上架,,,,,,,,,102001358,,,服务,电脑服务,恢复,m4硬件不开盘数据恢复服务-保外及多品牌,,,,,,,此产品需拨打4009908888按4按5按2在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！,,32767,,https://item.lenovo.com.cn/product/58247.html,,
100032,,,,,,,,,,上架,,,,,,,,,102001386,,,服务,电脑服务,恢复,普通32g硬件恢复+数据恢复,,,,,,,此产品需拨打4009908888按4按5按2在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！,,49,,https://item.lenovo.com.cn/product/58259.html,,
100033,,,,,,,,,,上架,,,,,,,,,102001361,,,服务,电脑服务,恢复,m4硬件开盘数据恢复服务-保外及多品牌1t以下,,,,,,,此产品需拨打4009908888按4按5按2在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！,,32767,,https://item.lenovo.com.cn/product/58250.html,,
100034,,,,,,,,,,上架,,,,,,,,,102001387,,,服务,电脑服务,恢复,普通一体封装+数据恢复,,,,,,,此产品需拨打4009908888按4按5按2在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！,,50,,https://item.lenovo.com.cn/product/58260.html,,
100035,,,,,,,,,,上架,,,,,,,,,102001362,,,服务,电脑服务,恢复,m4硬件开盘数据恢复服务-保外及多品牌1t含以上,,,,,,,此产品需拨打4009908888按4按5按2在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！,,32767,,https://item.lenovo.com.cn/product/58251.html,,
100036,扬天,,,,,,,,,上架,,,,,,,,,38014119,,,服务,电脑服务,延保,扬天笔记本1年上门,,,办公,,,,保修期内1年全国免费上门服务，购买热线：400-990-8888,,0,"商务人士,学生",https://item.lenovo.com.cn/product/58400.html,,
100037,,,,,,,,,,上架,,,,,,,,,102001382,,,服务,电脑服务,恢复,远程数据恢复,,,,,,,此产品需联系在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！服务热线：4009908888按4按5按2,,32767,,https://item.lenovo.com.cn/product/58255.html,,
100038,,,,,,,,,,下架,,,,,,,,,38015004,,,服务,电脑服务,延保,扬天笔记本延长2年上门服务,,,办公,,,,保修期内2年全国免费上门服务，购买热线：400-990-8888,,800,"商务人士,学生",https://item.lenovo.com.cn/product/58401.html,,
100039,,,,,,,,,,下架,,,,,,,,,102001383,,,服务,电脑服务,恢复,普通软件恢复+数据恢复,,,,,,,此产品需拨打400-890-1566按3在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！,,37,,https://item.lenovo.com.cn/product/58256.html,,
100040,,,,,,,,,,下架,,,,,,,,,38015005,,,服务,电脑服务,延保,扬天笔记本延长3年上门服务,,,办公,,,,保修期内3年全国免费上门服务，购买热线：400-990-8888,,1000,"学生,商务人士",https://item.lenovo.com.cn/product/58402.html,,
100041,,,,,,,,,,上架,,,,,,,,,102001385,,,服务,电脑服务,恢复,普通16g硬件恢复+数据恢复,,,,,,,此产品需拨打4009908888按4按5按2在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！,,50,,https://item.lenovo.com.cn/product/58258.html,,
100042,,,,,,,,,,下架,,,,,,,,,38014986,,,服务,电脑服务,延保,扬天笔记本延长2年基础保修,,,办公,,,,延长2年保修，全国联保、原厂部件、免费维修,,996,"商务人士,学生",https://item.lenovo.com.cn/product/58403.html,,
100043,,,,,,,,,,上架,,,,,,,,,102001388,,,服务,电脑服务,恢复,加急软件恢复+数据恢复,,,,,,,此产品需拨打4009908888按4按5按2在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！,,44,,https://item.lenovo.com.cn/product/58261.html,,
100044,,,,,,,,,,下架,,,,,,,,,38015006,,,服务,电脑服务,延保,扬天笔记本延长4年上门服务,,,办公,,,,保修期内4年全国免费上门服务，购买热线：400-990-8888,,800,"商务人士,学生",https://item.lenovo.com.cn/product/58404.html,,
100045,,,,,,,,,,上架,,,,,,,,,102001389,,,服务,电脑服务,恢复,加急8g硬件恢复+数据恢复,,,,,,,此产品需拨打4009908888按4按5按2在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！,,50,,https://item.lenovo.com.cn/product/58262.html,,
100046,,,,,,,,,,下架,,,,,,,,,38014987,,,服务,电脑服务,延保,扬天笔记本延长3年基础保修,,,办公,,,,延长3年保修，全国联保、原厂部件、免费维修,,999,"商务人士,学生",https://item.lenovo.com.cn/product/58406.html,,
100047,,,,,,,,,,上架,,,,,,,,,102001390,,,服务,电脑服务,恢复,加急16g硬件恢复+数据恢复,,,,,,,此产品需拨打4009908888按4按5按2在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！,,50,,https://item.lenovo.com.cn/product/58263.html,,
100048,,,,,,,,,,下架,,,,,,,,,38015014,,,服务,电脑服务,延保,扬天一体机延长2年上门服务,,,办公,,,,扬天一体机延长2年保修服务，产品咨询热线：400-990-8888,,800,"学生,商务人士",https://item.lenovo.com.cn/product/58425.html,,
100049,,,,,,,,,,上架,,,,,,,,,102001391,,,服务,电脑服务,恢复,加急32g硬件恢复+数据恢复,,,,,,,此产品需拨打4009908888按4按5按2在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！,,50,,https://item.lenovo.com.cn/product/58264.html,,
100050,,,,,,,,,,下架,,,,,,,,,38015008,,,服务,电脑服务,延保,扬天分体台式机延长2年上门服务,,,办公,,,,保修期内2年全国免费上门服务，购买热线：400-990-8888,,799,"学生,商务人士",https://item.lenovo.com.cn/product/58429.html,,
100051,,,,,,,,,,上架,,,,,,,,,102001393,,,服务,电脑服务,恢复,加急一体封装+数据恢复,,,,,,,此产品需拨打4009908888按4按5按2在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！,,50,,https://item.lenovo.com.cn/product/58265.html,,
100052,,,,,,,,,,下架,,,,,,,,,38015013,,,服务,电脑服务,延保,扬天台式机显示器延长1年上门服务,,,办公,,,,保修期内延长1年全国免费上门服务，购买热线：400-990-8888,,800,"商务人士,学生",https://item.lenovo.com.cn/product/58431.html,,
100053,,,,,,,,,,上架,,,,,,,,,102001421,,,服务,电脑服务,恢复,m4数据恢复1对1专家服务-硬件保内,,,,,,,此产品需拨打4009908888按4按5按2在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！,,47,,https://item.lenovo.com.cn/product/58266.html,,
100054,,,,,,,,,,下架,,,,,,,,,38015227,,,服务,电脑服务,延保,thinkpad+延长4年基础保修（t/x/a）,,,办公,,,,延长4年保修，全国联保、原厂部件、免费维修。,,950,商务人士,https://item.lenovo.com.cn/product/58448.html,,
100055,,,,,,,,,,上架,,,,,,,,,102001423,,,服务,电脑服务,恢复,m4数据恢复1对1专家服务-软件和硬件保外及多品牌,,,,,,,此产品需联系在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！服务热线：4009908888按4按5按2,,32767,,https://item.lenovo.com.cn/product/58267.html,,
100056,,,,,,,,,,下架,,,,,,,,,38015234,,,服务,电脑服务,延保,thinkpad+延长3年基础保修（e/s/r/l）,,,办公,,,,延长3年保修，全国联保、原厂部件、免费维修。,,984,商务人士,https://item.lenovo.com.cn/product/58454.html,,
100057,联想,,,,,,,,,上架,,,,,,,,,38014240,,,服务,电脑服务,恢复,【lenovo+专家1对1】远程数据恢复,,,,,,,联想远程数据恢复，通过远程控制桌面进行操作，恢复成功率高达92%，不成功不收费，此产品购买前请先联系在线客服。【特别说明】服务范围：+机械硬盘、U盘、SD卡；+服务内容：+1.误删除+；2.误格式化；+3.误装系统+；4.提示未格式化；+5.U盘数据丢失；+6.磁盘变成RAW属性；+7.分区丢失；+8.回收站清空；+9.分区转换导致文件丢失；10.内存卡数据丢失；11.电脑只剩C盘；12.提示文件或目录损坏；13.其他情况造成的文件丢失。电话：4009908888按4按5按2,,32767,,https://item.lenovo.com.cn/product/58268.html,,
100058,,,,,,,,,,下架,,,,,,,,,38015235,,,服务,电脑服务,延保,thinkpad+延长4年基础保修（e/s/r/l）,,,办公,,,,延长4年保修，全国联保、原厂部件、免费维修。,,996,"商务人士,学生",https://item.lenovo.com.cn/product/58455.html,,
100059,,,,,,,,,,下架,,,,,,,,,102001349,,,服务,电脑服务,恢复,m4软件数据恢复服务,,,,,,,此产品需拨打400-890-1566按3在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！,,9998,,https://item.lenovo.com.cn/product/58269.html,,
100060,,,,,,,,,,下架,,,,,,,,,38013996,,,服务,电脑服务,延保,thinkpad+延长1年基础保修（t/x/a）,,,办公,,,,延长1年保修，全国联保、原厂部件、免费维修。,,882,"商务人士,学生",https://item.lenovo.com.cn/product/58603.html,,
100061,,,,,,,,,,下架,,,,,,,,,38014113,,,服务,电脑服务,延保,扬天分体台式机延长主要部件1年保修,,,办公,,,,延长1年保修，全国联保、原厂部件、免费维修,,797,"学生,商务人士",https://item.lenovo.com.cn/product/58426.html,,
100062,,,,,,,,,,下架,,,,,,,,,GXY0M66868,,,配件,贴膜,贴膜,联想小新12寸键盘贴纸c面（海滩）,,,,,,,,,15,,https://item.lenovo.com.cn/product/58903.html,,
100063,,,,,,,,,,下架,,,,,,,,,38014122,,,服务,电脑服务,延保,扬天台式机显示器延长1年保修服务,,,办公,,,,保修期内1年全国免费上门服务，购买热线：400-990-8888,,800,"商务人士,学生",https://item.lenovo.com.cn/product/58428.html,,
100064,thinklife,,,,,,,,,下架,,,,,,,,,4X30M68237,,,电脑配套设备,电脑外设,鼠标,thinklife+无线静音鼠标wlm200,,,,,,,,,0,,https://tk.lenovo.com.cn/product/59568.html,,
100065,,,,,,,,,,下架,,,,,,,,,38015011,,,服务,电脑服务,延保,扬天台式机显示器延长2年基础保修,,,办公,,,,保修期内2年全国免费上门服务，购买热线：400-990-8888,,800,"学生,商务人士",https://item.lenovo.com.cn/product/58430.html,,
100066,,,,,,,,,,上架,,,,,,,,,102001529,,,服务,电脑服务,恢复,m4软件数据恢复服务-拷贝活动版,,,,,,,此产品需联系在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！服务热线：4009908888按4按5按2,,46,,https://item.lenovo.com.cn/product/93910.html,,
100067,,,,,,,,,,下架,,,,,,,,,38014988,,,服务,电脑服务,延保,扬天分体台式机延长主要部件2年保修,,,办公,,,,延长2年保修，全国联保、原厂部件、免费维修,,798,"商务人士,学生",https://item.lenovo.com.cn/product/58432.html,,
100068,,,,,,,,,,上架,,,,,,,,,102001530,,,服务,电脑服务,恢复,m4硬件不开盘数据恢复服务-拷贝活动版,,,,,,,此产品需联系在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！服务热线：4009908888按4按5按2,,46,,https://item.lenovo.com.cn/product/93911.html,,
100069,,,,,,,,,,下架,,,,,,,,,38015012,,,服务,电脑服务,延保,扬天台式机显示器延长3年基础保修,,,办公,,,,保修期内3年全国免费上门服务，购买热线：400-990-8888,,800,"商务人士,学生",https://item.lenovo.com.cn/product/58433.html,,
100070,thinkpad,,,,,,,,,上架,,,,,,,,,4X20M26281,,,配件,充电类,充电器,thinkpad+usb+type-c+65w电源适配器,,,办公,,,,,,0,商务人士,https://tk.lenovo.com.cn/product/94646.html,,
100071,,,,,,,,,,下架,,,,,,,,,38015226,,,服务,电脑服务,延保,thinkpad+延长3年基础保修（t/x/a）,,,办公,,,,延长3年保修，全国联保、原厂部件、免费维修。,,962,商务人士,https://item.lenovo.com.cn/product/58446.html,,
100072,联想,,,,,,,,,上架,,,,,,,,,4X30M39458,,,产品套装,电子产品套装,键鼠套装,lenovo无线键鼠套装,,,办公,,,,,,500,商务人士,https://tk.lenovo.com.cn/product/94756.html,,
100073,thinkpad,,,,,,,,,上架,,,,,,,,,38015241,,,服务,电脑服务,延保,thinkpad+mini(x100e)笔记本2年延保,,,,,,,延长2年保修，全国联保、原厂部件、免费维修。,,0,,https://item.lenovo.com.cn/product/58458.html,,
100074,,,,,,,,,,下架,,,,,,,,,38018504,,,服务,电脑服务,维修检测,thinkpad笔记本180城市两年上门,,,,,,,保修期内2年180个城市上门服务，购买热线：400-890-1566,,100,,https://tk.lenovo.com.cn/product/99301.html,,
100075,,,,,,,,,,下架,,,,,,,,,38015233,,,服务,电脑服务,延保,thinkpad+延长2年基础保修（e/s/r/l）,,,办公,,,,延长2年保修，全国联保、原厂部件、免费维修。,,982,"商务人士,学生",https://item.lenovo.com.cn/product/58609.html,,
100076,linner,灰色,,,,,,,,上架,,,,,,,,,31078449,,,电子产品,其他数码产品,耳机,linner（聆耳）nc21+pro+灰色+入耳式降噪耳机,,,,,,,,,0,,https://item.lenovo.com.cn/product/100482.html,,
100077,,,,,,,,,,下架,,,,,,,,,38015534,,,服务,电脑服务,延保,thinkcentre延长1年保修服务,,,办公,,,,ThinkCentre分体台式机主要部件延长1年保修期，全国联保、原厂部件、免费维修，,,5900,"商务人士,学生",https://item.lenovo.com.cn/product/58613.html,,
100078,联想,白色,,,,,,,,下架,,,,,,,,,PG38C02413,,,电子产品,其他数码产品,耳机,联想+dp-20+双发声单元hi-fi耳机+白色,,,,,,,,,0,学生,https://item.lenovo.com.cn/product/100606.html,,
100079,联想,,,,,,,,,下架,,,,智能数码,,,,,GX30K79400,,,电脑配套设备,电脑外设,鼠标,联想n1901a-l300+无线光学鼠标+黑,,,,,,,,,8,,https://item.lenovo.com.cn/product/59119.html,,
100080,,,,,,,,,,下架,,,,,,,,,38018835,,,服务,电脑服务,服务包,thinkpad+2年全面保修（上门）（t/x/a）,,,,,,,ThinkPad+T/X/A增加1年保修（含意外保护及180个城市有限上门服务）;到货后3个工作日内完成注册保修服务，客服电话：4008901566转5,,193,,https://tk.lenovo.com.cn/product/1001824.html,,
100081,thinkpad,,,,,,,,,上架,,,,,,,,,4X40M67352,,,礼品箱包,包,背包,thinkpad双肩包b200,,,,,,,,,0,商务人士,https://tk.lenovo.com.cn/product/59556.html,,
100082,,,,,,,,,,下架,,,,,,,,,38018838,,,服务,电脑服务,服务包,thinkpad+3年全面保修（上门）（t/x/a）,,,,,,,ThinkPad+T/X/A增加2年保修（含意外保护及180个城市有限上门服务）;到货后3个工作日内完成注册保修服务，客服电话：4008901566转5,,182,,https://tk.lenovo.com.cn/product/1001827.html,,
100083,thinklife,灰色,,,,,,,,下架,,,,,,,,,4X40M52019,,,礼品箱包,包,背包,thinklife+15.6休闲时尚双肩包+灰色,,,,,,,,,0,商务人士,https://tk.lenovo.com.cn/product/59563.html,,
100084,,,,,,,,,,下架,,,,,,,,,38018847,,,服务,电脑服务,服务包,thinkpad+2年全面保修（上门）（e/s/r/l）,,,,,,,ThinkPad+E/S/R/L增加1年保修（含意外保护及180个城市有限上门服务）;到货后3个工作日内完成注册保修服务，客服电话：4008901566转5,,198,,https://tk.lenovo.com.cn/product/1001832.html,,
100085,thinkpad,磨砂黑,,,,,,,,下架,,,,,,,,,31056690,,,电脑配套设备,电脑外设,鼠标,thinkpad+无线蓝光鼠标+(磨砂黑),,,,,,,,,0,,https://tk.lenovo.com.cn/product/59591.html,,
100086,,,,,,,,,,下架,,,,,,,,,38018885,,,服务,电脑服务,延保,thinkpad+电池+延长2年基础保修,,,,,,,仅限ThinkPad+X/T系列机型，出厂电池部件保修延长2年,,5266,,https://tk.lenovo.com.cn/product/1001836.html,,
100087,,,,,,,,,,下架,,,,,,,,,38014989,,,服务,电脑服务,延保,扬天aio+lcd延长2年基础保修,,,办公,,LCD,,扬天AIO+LCD2年保修服务期限，全国联保、原厂部件、免费维修,,800,商务人士,https://item.lenovo.com.cn/product/59767.html,,
100088,,,,,,,,,,下架,,,,,,,,,38018837,,,服务,电脑服务,延保,thinkpad+3年基础保修（上门）（t/x/a）,,,,,,,ThinkPad+T/X/A增加2年基础保修（含180个城市有限上门服务）;到货后3个工作日内完成注册保修服务，客服电话：4008901566转5,,268,,https://tk.lenovo.com.cn/product/1001842.html,,
100089,,,,,,,,,,下架,,,,,,,,,38017953,,,服务,电脑服务,延保,台式整机升级延长1年送修服务,,,,,,,此产品只针对在保整机升级产品的延保，购买时请务必向销售人员提供产品SN号，否则无法享受服务，到货如需上门安装，请联系4009908888按4按5按1,,32767,,https://item.lenovo.com.cn/product/91742.html,,
100090,,,,,,,,,,下架,,,,,,,,,38018849,,,服务,电脑服务,延保,thinkpad+3年基础保修（上门）（e/s/r/l）,,,,,,,ThinkPad+E/S/R/L增加2年基础保修（含180个城市有限上门服务）;到货后3个工作日内完成注册保修服务，客服电话：4008901566转5,,98,,https://tk.lenovo.com.cn/product/1001846.html,,
100091,,,,,,,,,,上架,,,,,,,,,102001531,,,服务,电脑服务,恢复,m4硬件开盘数据恢复1t以下-拷贝活动版,,,,,,,此产品需联系在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！服务热线：4009908888按4按5按2,,28,,https://item.lenovo.com.cn/product/93721.html,,
100092,microsoft,,,,,,,,,上架,,,,,,,,,38018829,,,软件,应用软件,office正版,microsoft+365+家庭版1年,,,,,,,,,32767,,https://item.lenovo.com.cn/product/1001890.html,,
100093,,,,,,,,,,上架,,,,,,,,,102001532,,,服务,电脑服务,恢复,m4硬件开盘数据恢复服务1t以上-拷贝活动版,,,,,,,此产品需联系在线客服帮您提供具体方案，请勿自行下单支付，否则无法享受服务。下单时，请您务必正确填写客服经理编码，以便为您提供服务！服务热线：4009908888按4按5按2,,2030,,https://item.lenovo.com.cn/product/93908.html,,
100094,thinkpad,,,,,,,,,上架,,,,,,,,,4X40Q26383,,,礼品箱包,包,背包,thinkpad+时尚商务双肩包,,,,,,,,,0,商务人士,https://tk.lenovo.com.cn/product/1002020.html,,
100095,联想,,,,,,,移动硬盘,,上架,,,,智能数码,,1,,,GXB0H14196,,,电脑配套设备,电脑组件,硬盘,联想+usb3.0+移动硬盘f308+黑+1tb,,,,,,,,,98,,https://item.lenovo.com.cn/product/100703.html,,
100096,联想,,,,,,,,,上架,,,,智能数码,,,,,GXH0K79369,,,家用电器,环境调节电器,空气净化器,联想智能车载空气净化器ca10（黑）,,,,,,,,,112,,https://item.lenovo.com.cn/product/1002105.html,,
100097,摩影,黑色,,,,11,,,,上架,,,153,,,,,,ASMPRJTBLKCN,,,综合办公用品,文印投影,投影仪,摩影-投影模块+黑色,,,,,,,,153.0*74.0*11.0mm,0,,https://item.lenovo.com.cn/product/1000145.html,,74
